Model,MAE,RMSE,R2
RNN,16.09714246521615,27.319380251607367,0.6147646204394126
LSTM,6.747881287735326,9.83243106589772,0.9500993385657804
GRU,4.390187725817698,6.701887202562785,0.9768165155388132
